pregunta_id,numero_pregunta,ut_nombre,veces_salido,veces_fallada,veces_acertada,porcentaje_acierto,dificultad,texto_pregunta_preview
bbc1786d-849c-44e4-9e75-2821dcb40e8f,1,Nomenclatura náutica,5,5,0,0.00,100.00,Las partes curvadas delanteras de los costados que convergen hacia proa se denominan:
467ef435-0154-4f7d-bff2-e446ae084ae0,3,Nomenclatura náutica,4,3,1,25.00,0.00,"En relación con el ancla, indique cuál de las siguientes afirmaciones es CORRECTA:"
e2c567a1-0c62-4d62-a6af-edca7db7a73e,43,Carta de navegación,2,2,0,0.00,0.00,"Hallar la sonda en el momento de la primera bajamar el día 02 de agosto de 2024 en Algeciras, con un"
a6c00982-e92e-4933-b969-6be0321f38e6,18,Reglamento (RIPA),2,2,0,0.00,0.00,"Según la Regla 34 del RIPA, “Señales de maniobra y advertencia”, cuando un buque lleve la luz utiliz"
59424695-f798-431c-bd50-482fab52c942,23,Reglamento (RIPA),4,2,2,50.00,0.00,"Según la Regla 3 del RIPA, un buque de vela que utiliza simultáneamente su maquinaria propulsora mie"
154c97a8-7ba9-4ca3-ac91-8e2d9716a372,27,Reglamento (RIPA),2,2,0,0.00,0.00,"De acuerdo con las reglas 23. d) ii) y 30.b) del RIPA, si visualizamos únicamente una luz blanca tod"
29b6eb8b-09b1-43d9-8c39-c68f9b1fb4b1,7,Seguridad,4,2,2,50.00,0.00,Deberán llevar al menos un aro salvavidas:
43a0079f-dc1a-44b3-8300-fdce458574fd,7,Seguridad,3,2,1,33.33,0.00,"En relación con las bengalas de mano, ¿cuál de las siguientes NO es una recomendación de uso y estib"
6c630fbe-7729-4c13-8dc7-74a878b15c11,38,Teoría de la navegación,3,2,1,33.33,0.00,El ángulo que forma el Norte de aguja con el Norte magnético se define como:
2ba0819b-0bfc-4ba9-b691-7b8fbfe99455,14,Balizamiento,2,1,1,50.00,0.00,"Arribando de noche al puerto de Panxón, vislumbramos una luz blanca centelleante de grupos de seis c"
6e8a6d1f-87f1-4988-a7dc-63c737095d2a,14,Balizamiento,2,1,1,50.00,0.00,¿Qué afirmación sobre las Marcas de Peligro Aislado ES CORRECTA?
cd16d0e2-6477-4fee-9f86-ed0d44638d1a,15,Balizamiento,1,1,0,0.00,0.00,La luz de una Marca de Aguas Navegables:
f01d4dea-9942-4a83-88b3-99ac2fb78d35,17,Balizamiento,2,1,1,50.00,0.00,"El protocolo para la numeración de las Marcas Laterales, especialmente en vías navegables confinadas"
c47f9e67-403e-424e-beeb-9d4a8bb6b2e2,44,Carta de navegación,1,1,0,0.00,0.00,Nos encontramos navegando al rumbo de aguja 265°. A HRB = 05:18 del día 1 de abril de 2022 tomamos u
b63494f0-64db-4e97-a6c2-f41db80531ad,44,Carta de navegación,1,1,0,0.00,0.00,Partiendo de la situación conocida latitud: 39º 20' N y Longitud: 016º 45'W se navega a rumbo de -3º
3d62c217-91e3-4f79-8bd1-46da1aa72c09,6,Elementos de amarre y fondeo,2,1,1,50.00,0.00,"En relación con los elementos de amarre, ¿cuál de las siguientes afirmaciones es CORRECTA?"
30a29ca9-209b-4f90-94ea-3cc0d8b22eed,6,Elementos de amarre y fondeo,1,1,0,0.00,0.00,"En relación con el fondeo, ¿cuál de las siguientes afirmaciones es INCORRECTA?"
7a865298-a640-477b-b5a7-ff3fef09dcaf,31,Emergencias en la mar,1,1,0,0.00,0.00,"En relación con la prevención de los abordajes, ¿cuál de las siguientes recomendaciones NO es adecua"
eaf61ae6-f1d5-4d2f-b99f-03df2df82925,11,Legislación,2,1,1,50.00,0.00,"De acuerdo con el Texto Refundido de la Ley de Puertos del Estado y de la Marina Mercante, de las in"
3b6951e0-63d5-49c0-b5ea-8ff33d0be354,11,Legislación,1,1,0,0.00,0.00,Según la Regla 3 del Capítulo V del Convenio Internacional para prevenir la contaminación por los bu
f2d49d3a-6011-4d73-8a64-eda7606e9295,12,Legislación,1,1,0,0.00,0.00,El seguro de responsabilidad civil de suscripción obligatoria tiene por objeto la cobertura de la re
02c3db49-906c-4be2-a685-63634dabb516,28,Maniobra y navegación,1,1,0,0.00,0.00,"Amarrados por el costado de estribor, con viento por la banda de babor, para salir de forma segura n"
0b2aa1e1-6739-47f1-92c1-054de3e03455,29,Maniobra y navegación,1,1,0,0.00,0.00,La corriente de aspiración provoca el siguiente efecto:
99545ed9-dc68-4dc5-827c-bbf3cae3e1b1,33,Meteorología,1,1,0,0.00,0.00,Se entiende por virazón:
8f103531-ee1f-4397-86ea-3c2054c6bcb3,33,Meteorología,2,1,1,50.00,0.00,"En relación con el fetch, indique cuál de las siguientes afirmaciones es INCORRECTA."
a6f40335-2a24-4ce7-a07a-6f19d5f8cbef,34,Meteorología,1,1,0,0.00,0.00,Señale cuál de las siguientes afirmaciones relativas a la presión atmosférica es CORRECTA.
113c24a0-ab7e-466a-a913-d50003cdca07,2,Nomenclatura náutica,1,1,0,0.00,0.00,La eficacia del timón dependerá de:
b413e99f-17c3-4308-a8a0-f7b258c2bbb1,2,Nomenclatura náutica,1,1,0,0.00,0.00,La parte curvada trasera del costado que converge hacia popa se denomina:
95c29632-1c85-4457-9bcd-222499d5b4c7,3,Nomenclatura náutica,1,1,0,0.00,0.00,El francobordo es:
a492f895-ee18-4bef-baf0-f27b978882bb,3,Nomenclatura náutica,1,1,0,0.00,0.00,Se define como “escorar” al movimiento de la embarcación que consiste en:
698680ae-2e74-460f-829b-f5383872d3ac,4,Nomenclatura náutica,1,1,0,0.00,0.00,A la pieza vertical del timón sobre la cual gira la pala se denomina:
72c1638b-94ed-4e21-80a3-c597738b1e1e,4,Nomenclatura náutica,1,1,0,0.00,0.00,La eficacia del timón dependerá de:
c9d81194-2bbf-4777-ad77-359a118b2fc2,4,Nomenclatura náutica,2,1,1,50.00,0.00,La “línea de crujía” de una embarcación es:
746eae87-8541-4e4d-95c4-7e53022645f8,20,Reglamento (RIPA),2,1,1,50.00,0.00,La Regla 30 del RIPA determina que un buque fondeado exhibirá en el lugar más visible:
0f6cd227-a6ab-483f-a2c9-54b0f7ee3b0d,22,Reglamento (RIPA),1,1,0,0.00,0.00,"Según la Regla 7 del RIPA, Riesgo de abordaje, ¿cuál de las siguientes afirmaciones es INCORRECTA?"
